repetition1,apk,category,generating_script,true_positive,successful,time,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/IMEI1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,37097,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/IP1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,37136,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/PI1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,34896,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/PlayStore1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,33819,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/PlayStore2.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,54309,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/Sensors1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,63185,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/SubscriberId1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,34909,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/VoiceMail1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,33331,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity1.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,FALSE,TRUE,33840,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity2.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,FALSE,TRUE,35167,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity3.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,33812,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity4.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,FALSE,TRUE,32079,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/InheritedObjects1.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,32843,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/ObjectSensitivity1.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,FALSE,TRUE,34379,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/ObjectSensitivity2.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,FALSE,TRUE,33290,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Clone1.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,32799,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions1.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,34720,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions2.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,31255,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions3.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,FALSE,TRUE,35407,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions4.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,30699,0,0,0,0,0,0
