replication,apk,category,generating_script,kcontext,option_under_investigation,true_positive,successful,time,run_time,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure,is_tp,is_fp,is_fn,sum_tp,sum_fp,sum_fn,precision,recall,f-measure
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/DynamicLoading/DynamicBoth1.apk,DynamicLoading,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20607,3981559,1,0.333333333,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/DynamicLoading/DynamicSink1.apk,DynamicLoading,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,21172,3981559,1,0.333333333,0.5,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/DynamicLoading/DynamicSource1.apk,DynamicLoading,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20975,3981559,1,0.333333333,0.5,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/Battery1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,22501,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/Bluetooth1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,23146,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/Build1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,21612,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/Contacts1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,22197,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/ContentProvider1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,23124,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/DeviceId1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20993,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/File1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,21881,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/IMEI1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20563,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/IP1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,21704,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/PI1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,22708,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/PlayStore1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,22481,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/PlayStore2.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,34425,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/Sensors1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,28740,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/SubscriberId1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,22491,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/VoiceMail1.apk,EmulatorDetection,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,21196,3981559,1,0.933333333,0.965517241,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity1.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,21850,3981559,1,1,1,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity2.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,21002,3981559,1,1,1,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity3.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20759,3981559,1,1,1,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity4.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,21168,3981559,1,1,1,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/InheritedObjects1.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20577,3981559,1,1,1,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/ObjectSensitivity1.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,20764,3981559,1,1,1,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/ObjectSensitivity2.apk,FieldAndObjectSensitivity,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,20959,3981559,1,1,1,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Clone1.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20185,3981559,0.8125,0.619047619,0.702702703,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions1.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,21393,3981559,0.8125,0.619047619,0.702702703,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions2.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20768,3981559,0.8125,0.619047619,0.702702703,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions3.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,FALSE,20752,3981559,0.8125,0.619047619,0.702702703,0.87804878,0.45,0.595041322,0,1,0,0,1,1,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions4.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,21449,3981559,0.8125,0.619047619,0.702702703,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/GeneralJava/Exceptions5.apk,GeneralJava,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20389,3981559,0.8125,0.619047619,0.702702703,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
