repetition,apk,config,num_flows,time,total_TP,detected_TP,total_FP,detected_FP,completed,option_under_investigation,true_positive,successful,time2,total time,completed3,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure,aliasalgo,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,implicit,maxcallbackspercomponent,maxcallbacksdepth,pathalgo,staticmode,taintwrapper,aliasflowins,analyzeframeworks,nocallbacks,noexceptions,nothischainreduction,onesourceatatime,onecomponentatatime,pathspecificresults,enablereflection,singlejoinpointabstraction
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_taintwrappernone.xml,0,246220.1782,1,0,0,0,1,taintwrapper,TRUE,TRUE,3720,1987555,1,1,0.4,0.571428571,0.911764706,0.3875,0.543859649,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,NONE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aliasalgolazy.xml,0,19994.41437,0,0,0,0,1,aliasalgo,TRUE,TRUE,16028,2964245,1,1,0.5,0.666666667,0.871428571,0.38125,0.530434783,LAZY,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aliasalgonone.xml,0,16125.65534,0,0,0,0,1,aliasalgo,TRUE,TRUE,16064,2876387,1,1,0.7,0.823529412,0.914634146,0.46875,0.619834711,NONE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aliasalgoptsbased.xml,0,30813.43746,0,0,0,0,1,aliasalgo,TRUE,TRUE,16088,2863796,1,1,0.7,0.823529412,0.852941176,0.3625,0.50877193,PTSBASED,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aliasflowins.xml,0,16861.15958,0,0,0,0,1,aliasflowins,TRUE,TRUE,15628,2917833,1,1,0.7,0.823529412,0.864583333,0.51875,0.6484375,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_analyzeframeworks.xml,0,20370.2733,0,0,0,0,1,analyzeframeworks,TRUE,TRUE,15791,3154861,1,1,0.4,0.571428571,0.911764706,0.3875,0.543859649,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aplength1.xml,0,23619.90766,0,0,0,0,1,aplength,TRUE,TRUE,15706,3002250,1,1,0.7,0.823529412,0.863157895,0.5125,0.643137255,FLOWSENSITIVE,1,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aplength10.xml,0,22379.79344,0,0,0,0,1,aplength,TRUE,TRUE,15852,2906433,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,10,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aplength2.xml,0,22449.69617,0,0,0,0,1,aplength,TRUE,TRUE,15768,2976261,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,2,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aplength20.xml,0,22763.05022,0,0,0,0,1,aplength,TRUE,TRUE,15589,2959831,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,20,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aplength3.xml,0,24589.2823,0,0,0,0,1,aplength,TRUE,TRUE,15435,2975892,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,3,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aplength4.xml,0,20907.1771,0,0,0,0,1,aplength,TRUE,TRUE,15450,2983679,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,4,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aplength5.xml,0,24442.76357,0,0,0,0,1,aplength,TRUE,TRUE,15674,2949821,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_aplength7.xml,0,25436.68339,0,0,0,0,1,aplength,TRUE,TRUE,16048,2995964,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,7,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_callbackanalyzerfast.xml,0,20471.60561,0,0,0,0,1,callbackanalyzer,TRUE,TRUE,15193,2906185,1,1,0.7,0.823529412,0.886075949,0.4375,0.585774059,FLOWSENSITIVE,5,FAST,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_cgalgocha.xml,0,26838.87257,0,0,0,0,1,cgalgo,TRUE,TRUE,15780,2884968,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,CHA,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_cgalgogeom.xml,0,33086.71997,0,0,0,0,1,cgalgo,TRUE,TRUE,17526,3310914,1,1,0.7,0.823529412,0.9,0.50625,0.648,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,GEOM,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_cgalgorta.xml,0,21530.16358,0,0,0,0,1,cgalgo,TRUE,TRUE,15205,2969255,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,RTA,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_cgalgovta.xml,0,24840.8047,0,0,0,0,1,cgalgo,TRUE,TRUE,15573,3004185,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,VTA,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_codeeliminationnone.xml,0,27431.48716,0,0,0,0,1,codeelimination,TRUE,TRUE,15449,2923651,1,1,0.7,0.823529412,0.872340426,0.5125,0.645669291,FLOWSENSITIVE,5,DEFAULT,NONE,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_codeeliminationrc.xml,0,17810.82925,0,0,0,0,1,codeelimination,TRUE,TRUE,15274,2994339,1,1,0.7,0.823529412,0.880434783,0.50625,0.642857143,FLOWSENSITIVE,5,DEFAULT,REMOVECODE,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_dataflowsolverfins.xml,0,17529.3746,0,0,0,0,1,dataflowsolver,TRUE,TRUE,15164,2959214,1,1,0.9,0.947368421,0.837837838,0.58125,0.686346863,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,FLOWINSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_enablereflection.xml,0,20216.14422,0,0,0,0,1,enablereflection,TRUE,TRUE,17484,2275866,1,1,0.7,0.823529412,0.885416667,0.53125,0.6640625,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_implicitall.xml,0,24977.13352,0,0,0,0,1,implicit,TRUE,TRUE,15544,3006212,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,ALL,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_implicitarronly.xml,0,25424.45532,0,0,0,0,1,implicit,TRUE,TRUE,15168,2966654,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,ARRAYONLY,100,-1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_maxcallbackchain1.xml,0,22196.03906,0,0,0,0,1,maxcallbackchain,TRUE,TRUE,15466,3146889,1,1,0.5,0.666666667,0.878787879,0.3625,0.513274336,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,1,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_maxcallbackchain100.xml,0,17723.07739,0,0,0,0,1,maxcallbackchain,TRUE,TRUE,15226,2920798,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,100,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_maxcallbackchain110.xml,0,16219.65489,0,0,0,0,1,maxcallbackchain,TRUE,TRUE,15922,3011437,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,110,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_maxcallbackchain120.xml,0,23313.03081,0,0,0,0,1,maxcallbackchain,TRUE,TRUE,15653,3010993,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,120,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_maxcallbackchain150.xml,0,25173.3566,0,0,0,0,1,maxcallbackchain,TRUE,TRUE,15728,2984340,1,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,SPARK,CONTEXTFLOWSENSITIVE,NONE,100,150,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
