"","config","time1","time2","time3","tp1","tp2","tp3","fp1","fp2","fp3","completed1","completed2","completed3","time","tp","fp","completed","apicalldepth","kobjsens","pta","analyzestrings_unfiltered","filetransforms","ignoreexceptionflows","ignorenocontextflows","implicitflow","imprecisestrings","limitcontextforcomplex","limitcontextforgui","limitcontextforstrings","multipassfb","noarrayindex","noclinitcontext","noclonestatics","nofallback","nojsa","noscalaropts","nova","preciseinfoflow","transfertaintfield","typesforcontext"
"14","config_DroidSafe_20.xml",125272617.298627,108536835.863064,161058570.25315,0,0,0,12,12,12,21,20,21,125272617.298627,0,12,21,50,18,"spark",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15","config_DroidSafe_21.xml",47264793.8297847,47158051.43065,48649809.1229409,0,0,0,0,0,0,24,24,24,47264793.8297847,0,0,24,80,1,"paddle",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"16","config_DroidSafe_22.xml",121495557.269907,125841312.891709,162917098.770354,0,0,0,0,0,0,19,18,16,125841312.891709,0,0,18,80,2,"geo",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"17","config_DroidSafe_23.xml",115254729.965776,112014250.567043,131374084.204002,9,9,9,73,73,73,16,17,16,115254729.965776,9,73,16,80,3,"spark",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"18","config_DroidSafe_24.xml",90231996.3281669,92988320.2011603,100156406.732685,16,16,16,39,39,39,19,18,19,92988320.2011603,16,39,19,80,4,"spark",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"19","config_DroidSafe_25.xml",84676620.6432529,84176089.5837573,87352408.2369359,0,0,0,0,0,0,20,20,20,84676620.6432529,0,0,20,80,5,"geo",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"20","config_DroidSafe_26.xml",118665567.167109,104589664.878161,132224326.925896,0,0,0,10,10,10,21,21,21,118665567.167109,0,10,21,80,6,"spark",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"21","config_DroidSafe_27.xml",46517346.9403031,45316642.7418058,46350469.787958,0,0,0,0,0,0,24,24,24,46350469.787958,0,0,24,80,18,"paddle",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"22","config_DroidSafe_28.xml",46016117.8609729,45008262.1601866,46471460.784279,0,0,0,0,0,0,24,24,24,46016117.8609729,0,0,24,90,1,"paddle",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"23","config_DroidSafe_29.xml",135910327.998872,122714018.901636,163733328.085627,0,0,0,0,0,0,19,19,15,135910327.998872,0,0,19,90,2,"geo",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"24","config_DroidSafe_3.xml",46078358.238099,44590825.4909571,48539908.9411,0,0,0,0,0,0,24,24,24,46078358.238099,0,0,24,0,4,"paddle",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"25","config_DroidSafe_30.xml",101067895.689693,96652410.9768406,113505859.32357,14,14,14,117,117,117,19,19,18,101067895.689693,14,117,19,90,3,"spark",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"26","config_DroidSafe_31.xml",104001769.895719,99312243.8321196,111079665.489598,0,0,0,0,0,0,18,18,17,104001769.895719,0,0,18,90,4,"geo",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"27","config_DroidSafe_32.xml",78178045.844395,74886851.0173386,82238279.1261779,0,0,0,0,0,0,20,20,20,78178045.844395,0,0,20,90,5,"geo",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"28","config_DroidSafe_33.xml",46062395.188259,44612361.9312774,49128807.912089,0,0,0,0,0,0,24,24,24,46062395.188259,0,0,24,90,6,"paddle",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
